"ID"	"Year"
"98"	"PADE_08060L1877"	NA
"99"	"PADE_08061L1878"	NA
"100"	"PADE_08062L1879"	NA
"101"	"PADE_08063L1880"	NA
"102"	"PADE_08064L1881"	NA
"103"	"PADE_08065L1882"	NA
"104"	"PADE_08066L1883"	NA
"105"	"PADE_09024L1792"	NA
"106"	"PADE_09025L1793"	NA
"107"	"PADE_09026L1794"	NA
"108"	"PADE_09027L1817"	NA
"109"	"PADE_09028L1818"	NA
"110"	"PADE_09029L1819"	NA
"111"	"PADE_09030L1820"	NA
"112"	"PADE_09031L1821"	NA
"113"	"PADE_09032L1822"	NA
"114"	"PADE_09033L1823"	NA
"115"	"PADE_09034L1824"	NA
"116"	"PADE_09035L1825"	NA
"117"	"PADE_09036L1826"	NA
"118"	"PADE_09037L1827"	NA
"119"	"PADE_09038L1828"	NA
"120"	"PADE_09039L1829"	NA
"121"	"PADE_09040L1830"	NA
"122"	"PADE_09041L1831"	NA
"123"	"PADE_09042L1832"	NA
"124"	"PADE_09043L1833"	NA
"125"	"PADE_09044L1834"	NA
"126"	"PADE_09045L1835"	NA
"127"	"PADE_09046L1836"	NA
"128"	"PADE_09047L1837"	NA
"129"	"PADE_09048L1838"	NA
"130"	"PADE_09049L1839"	NA
"131"	"PADE_09050L1950"	NA
"132"	"PADE_09051L1851"	NA
"133"	"PADE_09052L1852"	NA
"134"	"PADE_09053L1853"	NA
"135"	"PADE_09054L1854"	NA
"136"	"PADE_09055L1855"	NA
"137"	"PADE_09056L1856"	NA
"138"	"PADE_09057L1857"	NA
"139"	"PADE_09058L1858"	NA
"140"	"PADE_09059L1859"	NA
"141"	"PADE_09060L1860"	NA
"142"	"PADE_09061L1861"	NA
"143"	"PADE_09063L1885"	NA
"144"	"PADE_09067L1888"	NA
"145"	"PADE_09069L1890"	NA
"146"	"PADE_09070L1891"	NA
"147"	"PADE_09071L1892"	NA
"148"	"PADE_09072L1893"	NA
"149"	"PADE_09073L1894"	NA
"150"	"PADE_10013L1840"	NA
"151"	"PADE_10014L1841"	NA
"152"	"PADE_10015L1842"	NA
"153"	"PADE_10016L1843"	NA
"154"	"PADE_10017L1844"	NA
"155"	"PADE_10023L1862"	NA
"156"	"PADE_10024L1956"	NA
"157"	"PADE_10025L1863"	NA
"158"	"PADE_10026L1864"	NA
"159"	"PADE_10027L1865"	NA
"160"	"PADE_10028L1957"	NA
"161"	"PADE_10029L1866"	NA
"162"	"PADE_10030L1867"	NA
"163"	"PADE_10031L1868"	NA
"164"	"PADE_10032L1869"	NA
"165"	"PADE_10033L1870"	NA
"166"	"PADE_10034L1871"	NA
"167"	"PADE_10035L1872"	NA
"168"	"PADE_10036L1873"	NA
"169"	"PADE_10037L1783"	NA
"170"	"PADE_10038L1784"	NA
"171"	"PADE_10039L1785"	NA
"172"	"PADE_10040L1786"	NA
"173"	"PADE_10041L1943"	NA
"174"	"PADE_10042L1944"	NA
"175"	"PADE_10043L1787"	NA
"176"	"PADE_10044L1945"	NA
"177"	"PADE_10045L1788"	NA
"178"	"PADE_10046L1961"	NA
"179"	"PADE_10047L1962"	NA
"180"	"PADE_10048L1963"	NA
"181"	"PADE_10049L1895"	NA
"182"	"PADE_10050L1896"	NA
"183"	"PADE_10051L1897"	NA
"184"	"PADE_10052L1898"	NA
"185"	"PADE_10053L1899"	NA
"186"	"PADE_10054L1964"	NA
"187"	"PADE_10055L1900"	NA
"188"	"PADE_10056L1901"	NA
"189"	"PADE_11015L1902"	NA
"190"	"PADE_11016L1903"	NA
"191"	"PADE_11017L1904"	NA
"192"	"PADE_11018L1905"	NA
"193"	"PADE_11019L1906"	NA
"194"	"PADE_11020L1965"	NA
"195"	"PADE_12016L1907"	NA
"196"	"PADE_12017L1908"	NA
"197"	"PADE_12018L1909"	NA
"198"	"PADE_12019L1910"	NA
"199"	"PADE_12020L1911"	NA
"200"	"PADE_12021L1912"	NA
"201"	"PADE_12022L1913"	NA
"202"	"PADE_12023L1914"	NA
"203"	"PADE_12024L1915"	NA
"204"	"PADE_12025L1916"	NA
"205"	"PADE_13030L1362"	NA
"206"	"PADE_13044L1376"	NA
"207"	"PADE_13045L1543"	NA
"208"	"PADE_13047L1378"	NA
"209"	"PADE_13048L1544"	NA
"210"	"PADE_13049L1447"	NA
"211"	"PADE_13050L1448"	NA
"212"	"PADE_13051L1449"	NA
"213"	"PADE_13052L1450"	NA
"214"	"PADE_13053L1379"	NA
"215"	"PADE_13054L1451"	NA
"216"	"PADE_13055L1545"	NA
"217"	"PADE_13056L1452"	NA
"218"	"PADE_13057L1453"	NA
"219"	"PADE_13058L1454"	NA
"220"	"PADE_13059L1455"	NA
"221"	"PADE_13060L1456"	NA
"222"	"PADE_13061L1457"	NA
"223"	"PADE_13063L1458"	NA
"224"	"PADE_13064L1459"	NA
"225"	"PADE_13065L1460"	NA
"226"	"PADE_13067L1381"	NA
"227"	"PADE_13068L1461"	NA
"228"	"PADE_13069L1546"	NA
"229"	"PADE_13070L1462"	NA
"230"	"PADE_13071L1547"	NA
"231"	"PADE_13072L1463"	NA
"232"	"PADE_14003L1126"	NA
"233"	"PADE_14005L1548"	NA
"234"	"PADE_14007L1147"	NA
"235"	"PADE_14008L1464"	NA
"236"	"PADE_14009L1549"	NA
"237"	"PADE_14010L1550"	NA
"238"	"PADE_14014L1465"	NA
"239"	"PADE_14015L1466"	NA
"240"	"PADE_14016L1551"	NA
"241"	"PADE_14017L1467"	NA
"242"	"PADE_14018L1552"	NA
"243"	"PADE_14019L1382"	NA
"244"	"PADE_14022L1123"	NA
"245"	"PADE_14023L1125"	NA
"246"	"PADE_14027L1468"	NA
"247"	"PADE_14029L1469"	NA
"248"	"PADE_14032L1553"	NA
"249"	"PADE_14034L1470"	NA
"250"	"PADE_14035L1554"	NA
"251"	"PADE_14036L1471"	NA
"252"	"PADE_14037L1555"	NA
"253"	"PADE_14038L1472"	NA
"254"	"PADE_14039L1556"	NA
"255"	"PADE_14040L1557"	NA
"256"	"PADE_14041L1473"	NA
"257"	"PADE_14042L1558"	NA
"258"	"PADE_14045L1474"	NA
"259"	"PADE_14046L1119"	NA
"260"	"PADE_14050L1559"	NA
"261"	"PADE_14052L1560"	NA
"262"	"PADE_14053L1561"	NA
"263"	"PADE_14054L1475"	NA
"264"	"PADE_14055L1562"	NA
"265"	"PADE_14056L1476"	NA
"266"	"PADE_14057L1563"	NA
"267"	"PADE_14058L1564"	NA
"268"	"PADE_14060L1565"	NA
"269"	"PADE_14061L1124"	NA
"270"	"PADE_14062L1477"	NA
"271"	"PADE_14066L1566"	NA
"272"	"PADE_14067L1567"	NA
"273"	"PADE_14069L1149"	NA
"274"	"PADE_14070L1568"	NA
"275"	"PADE_14073L1127"	NA
"276"	"PADE_14075L1128"	NA
"277"	"PADE_14076L1129"	NA
"278"	"PADE_14077L1151"	NA
"279"	"PADE_14078L1152"	NA
"280"	"PADE_14079L1153"	NA
"281"	"PADE_14082L1131"	NA
"282"	"PADE_14083L1132"	NA
"283"	"PADE_14084L1133"	NA
"284"	"PADE_14085L1134"	NA
"285"	"PADE_14086L1135"	NA
"286"	"PADE_14087L1136"	NA
"287"	"PADE_14091L1478"	NA
"288"	"PADE_14092L1569"	NA
"289"	"PADE_14093L1570"	NA
"290"	"PADE_14096L1158"	NA
"291"	"PADE_14097L1138"	NA
"292"	"PADE_14098L1383"	NA
"293"	"PADE_14099L1384"	NA
"294"	"PADE_14100L1385"	NA
"295"	"PADE_14101L1386"	NA
"296"	"PADE_14102L1479"	NA
"297"	"PADE_14103L1571"	NA
"298"	"PADE_14104L1480"	NA
"299"	"PADE_14105L1387"	NA
"300"	"PADE_14106L1388"	NA
"301"	"PADE_14107L1481"	NA
"302"	"PADE_14108L1389"	NA
"303"	"PADE_14109L1482"	NA
"304"	"PADE_14110L1572"	NA
"305"	"PADE_14111L1573"	NA
"306"	"PADE_14112L1390"	NA
"307"	"PADE_14113L1574"	NA
"308"	"PADE_14114L1483"	NA
"309"	"PADE_14115L1484"	NA
"310"	"PADE_14116L1391"	NA
"311"	"PADE_14117L1485"	NA
"312"	"PADE_14118L1486"	NA
"313"	"PADE_14119L1392"	NA
"314"	"PADE_14120L1393"	NA
"315"	"PADE_14121L1487"	NA
"316"	"PADE_14122L1488"	NA
"317"	"PADE_14123L1489"	NA
"318"	"PADE_14124L1490"	NA
"319"	"PADE_14126L1575"	NA
"320"	"PADE_14127L1576"	NA
"321"	"PADE_14128L1577"	NA
"322"	"PADE_14129L1491"	NA
"323"	"PADE_14130L1492"	NA
"324"	"PADE_14131L1394"	NA
"325"	"PADE_14132L1395"	NA
"326"	"PADE_14133L1396"	NA
"327"	"PADE_14134L1578"	NA
"328"	"PADE_14135L1493"	NA
"329"	"PADE_14136L1397"	NA
"330"	"PADE_14138L1579"	NA
"331"	"PADE_14139L1398"	NA
"332"	"PADE_14140L1399"	NA
"333"	"PADE_14141L1400"	NA
"334"	"PADE_14142L1494"	NA
"335"	"PADE_14143L1495"	NA
"336"	"PADE_14144L1401"	NA
"337"	"PADE_14145L1402"	NA
"338"	"PADE_14146L1496"	NA
"339"	"PADE_14147L1403"	NA
"340"	"PADE_14148L1404"	NA
"341"	"PADE_14149L1497"	NA
"342"	"PADE_14150L1405"	NA
"343"	"PADE_14151L1406"	NA
"344"	"PADE_14153L1407"	NA
"345"	"PADE_14154L1408"	NA
"346"	"PADE_14155L1409"	NA
"347"	"PADE_14156L1498"	NA
"348"	"PADE_14157L1499"	NA
"349"	"PADE_14158L1500"	NA
"350"	"PADE_14159L1501"	NA
"351"	"PADE_14160L1410"	NA
"352"	"PADE_14161L1502"	NA
"353"	"PADE_14162L1503"	NA
"354"	"PADE_14163L1580"	NA
"355"	"PADE_14164L1504"	NA
"356"	"PADE_14165L1411"	NA
"357"	"PADE_14166L1505"	NA
"358"	"PADE_14167L1581"	NA
"359"	"PADE_14168L1506"	NA
"360"	"PADE_14169L1507"	NA
"361"	"PADE_14170L1412"	NA
"362"	"PADE_14171L1508"	NA
"363"	"PADE_14173L1509"	NA
"364"	"PADE_14174L1582"	NA
"365"	"PADE_14175L1510"	NA
"366"	"PADE_14176L1511"	NA
"367"	"PADE_14177L1413"	NA
"368"	"PADE_14178L1414"	NA
"369"	"PADE_14179L1415"	NA
"370"	"PADE_14180L1416"	NA
"371"	"PADE_14181L1417"	NA
"372"	"PADE_14182L1418"	NA
"373"	"PADE_14183L1419"	NA
"374"	"PADE_14184L1420"	NA
"375"	"PADE_14185L1512"	NA
"376"	"PADE_14186L1421"	NA
"377"	"PADE_14187L1513"	NA
"378"	"PADE_14188L1422"	NA
"379"	"PADE_14190L1423"	NA
"380"	"PADE_14191L1514"	NA
"381"	"PADE_14192L1583"	NA
"382"	"PADE_14193L1424"	NA
"383"	"PADE_14194L1425"	NA
"384"	"PADE_14195L1515"	NA
"385"	"PADE_14196L1426"	NA
"386"	"PADE_14197L1584"	NA
"387"	"PADE_14198L1516"	NA
"388"	"PADE_14199L1427"	NA
"389"	"PADE_14200L1517"	NA
"390"	"PADE_14201L1518"	NA
"391"	"PADE_14206L1519"	NA
"392"	"PADE_14207L1585"	NA
"393"	"PADE_14208L1520"	NA
"394"	"PADE_14209L1521"	NA
"395"	"PADE_14210L1522"	NA
"396"	"PADE_14211L1428"	NA
"397"	"PADE_14212L1523"	NA
"398"	"PADE_14213L1586"	NA
"399"	"PADE_14214L1429"	NA
"400"	"PADE_14215L1430"	NA
"401"	"PADE_14216L1431"	NA
"402"	"PADE_14217L1432"	NA
"403"	"PADE_14218L1524"	NA
"404"	"PADE_14219L1525"	NA
"405"	"PADE_14220L1433"	NA
"406"	"PADE_14221L1434"	NA
"407"	"PADE_14222L1435"	NA
"408"	"PADE_14223L1526"	NA
"409"	"PADE_14224L1436"	NA
"410"	"PADE_14225L1587"	NA
"411"	"PADE_14226L1527"	NA
"412"	"PADE_14227L1437"	NA
"413"	"PADE_14228L1438"	NA
"414"	"PADE_14229L1528"	NA
"415"	"PADE_14230L1439"	NA
"416"	"PADE_14231L1440"	NA
"417"	"PADE_14232L1529"	NA
"418"	"PADE_14233L1588"	NA
"419"	"PADE_14234L1441"	NA
"420"	"PADE_14235L1442"	NA
"421"	"PADE_14236L1530"	NA
"422"	"PADE_14237L1531"	NA
"423"	"PADE_14238L1532"	NA
"424"	"PADE_14239L1533"	NA
"425"	"PADE_14240L1534"	NA
"426"	"PADE_14241L1443"	NA
"427"	"PADE_14242L1535"	NA
"428"	"PADE_14243L1589"	NA
"429"	"PADE_14244L1536"	NA
"430"	"PADE_14245L1444"	NA
"431"	"PADE_14246L1537"	NA
"432"	"PADE_14247L1538"	NA
"433"	"PADE_14248L1590"	NA
"434"	"PADE_14249L1539"	NA
"435"	"PADE_14250L1445"	NA
"436"	"PADE_14251L1540"	NA
"437"	"PADE_14252L1541"	NA
"438"	"PADE_14253L1446"	NA
"439"	"PADE_14254L1542"	NA
"440"	"PADE_89002L2128"	NA
"441"	"PADE_89003L2130"	NA
"442"	"PADE_89004L2080"	NA
"443"	"PADE_89005L2032"	NA
"444"	"PADE_89006L2081"	NA
"445"	"PADE_89007L2082"	NA
"446"	"PADE_89008L2034"	NA
"447"	"PADE_89009L2131"	NA
"448"	"PADE_89010L2083"	NA
"449"	"PADE_89011L2132"	NA
"450"	"PADE_89012L2084"	NA
"451"	"PADE_89013L2035"	NA
"452"	"PADE_89014L2085"	NA
"453"	"PADE_89015L2086"	NA
"454"	"PADE_89016L2087"	NA
"455"	"PADE_89017L2088"	NA
"456"	"PADE_89018L2133"	NA
"457"	"PADE_89019L2089"	NA
"458"	"PADE_89020L2134"	NA
"459"	"PADE_90019L2158"	NA
"460"	"PADE_90020L2118"	NA
"461"	"PADE_90032L2137"	NA
"462"	"PADE_90034L2169"	NA
"463"	"PADE_90035L2198"	NA
"464"	"PADE_90036L2121"	NA
"465"	"PADE_91015L2090"	NA
"466"	"PADE_91016L1986"	NA
"467"	"PADE_91017L2138"	NA
"468"	"PADE_91018L2036"	NA
"469"	"PADE_91019L2037"	NA
"470"	"PADE_91020L2038"	NA
"471"	"PADE_91021L2092"	NA
"472"	"PADE_91022L2039"	NA
"473"	"PADE_91023L1987"	NA
"474"	"PADE_91024L2077"	NA
"475"	"PADE_92001L2074"	NA
"476"	"PADE_92002L2164"	NA
"477"	"PADE_92003L2075"	NA
"478"	"PADE_92004L2115"	NA
"479"	"PADE_92005L2120"	NA
"480"	"PADE_92006L1988"	NA
"481"	"PADE_92007L2040"	NA
"482"	"PADE_92008L2041"	NA
"483"	"PADE_92009L2042"	NA
"484"	"PADE_92010L2093"	NA
"485"	"PADE_92011L2043"	NA
"486"	"PADE_92012L2044"	NA
"487"	"PADE_92013L2094"	NA
"488"	"PADE_92014L2045"	NA
"489"	"PADE_92015L2095"	NA
"490"	"PADE_92016L2046"	NA
"491"	"PADE_92017L2047"	NA
"492"	"PADE_92018L2048"	NA
"493"	"PADE_92019L1989"	NA
"494"	"PADE_92020L1990"	NA
"495"	"PADE_92021L2049"	NA
"496"	"PADE_92022L2050"	NA
"497"	"PADE_92023L2096"	NA
"498"	"PADE_92024L2097"	NA
"499"	"PADE_93006L2117"	NA
"500"	"PADE_98001L2062"	NA
"501"	"PADE_98004L2064"	NA
"502"	"PADE_98005L2002"	NA
"503"	"PADE_98006L2003"	NA
"504"	"PADE_98007L2004"	NA
"505"	"PADE_98008L2005"	NA
"506"	"PADE_98009L2006"	NA
"507"	"PADE_98010L2051"	NA
"508"	"PADE_98011L2053"	NA
"509"	"PADE_98012L2054"	NA
"510"	"PADE_98013L2055"	NA
"511"	"PADE_98014L1991"	NA
"512"	"PADE_98015L2139"	NA
"513"	"PADE_98016L2098"	NA
"514"	"PADE_98017L2100"	NA
"515"	"PADE_98018L2056"	NA
"516"	"PADE_98019L2140"	NA
"517"	"PADE_98020L2141"	NA
"518"	"PADE_98021L2142"	NA
"519"	"PADE_98022L2143"	NA
"520"	"PADE_98023L2179"	NA
"521"	"PADE_98024L2144"	NA
"522"	"PADE_98025L2180"	NA
"523"	"PADE_98026L2145"	NA
"524"	"PADE_98027L2146"	NA
"525"	"PADE_99001L2007"	NA
"526"	"PADE_99002L2008"	NA
"527"	"PADE_99008L2148"	NA
"528"	"PADE_99009L2149"	NA
